accuracy,accuracy_mean,accuracy_stderr,benchmark,method,model,num_complete_seed_runs,num_problems,num_seed_runs,partial,source_file
,75.2,0.35,mbpp_plus,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,3,378,3,False,results/paper_qwen14b_mbpp_full/results_from_progress.json
82.9,,,humaneval_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
44.5,,,humaneval_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
29.9,,,humaneval_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
84.8,,,humaneval_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
82.3,,,humaneval_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
,79.6,1.52,humaneval_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2,164,3,True,results/paper_r1_32b_humaneval_full/results_from_progress.json
,45.4,1.52,humaneval_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2,164,3,True,results/paper_r1_32b_humaneval_full/results_from_progress.json
,34.5,0.3,humaneval_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2,164,3,True,results/paper_r1_32b_humaneval_full/results_from_progress.json
,83.5,0.61,humaneval_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2,164,3,True,results/paper_r1_32b_humaneval_full/results_from_progress.json
,80.8,1.52,humaneval_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,2,164,3,True,results/paper_r1_32b_humaneval_full/results_from_progress.json
,64.4,1.63,mbpp_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,31.0,0.31,mbpp_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,30.8,0.32,mbpp_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,66.8,1.23,mbpp_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,64.6,1.5,mbpp_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
70.7,,,humaneval_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
34.8,,,humaneval_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
32.9,,,humaneval_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
74.4,,,humaneval_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
72.6,,,humaneval_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
,65.2,0.0,humaneval_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,2,True,results/paper_r1_7b_humaneval_full/results_from_progress.json
,35.4,0.0,humaneval_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,2,True,results/paper_r1_7b_humaneval_full/results_from_progress.json
,32.3,0.0,humaneval_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,2,True,results/paper_r1_7b_humaneval_full/results_from_progress.json
,72.6,0.0,humaneval_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,2,True,results/paper_r1_7b_humaneval_full/results_from_progress.json
,70.1,0.0,humaneval_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,2,True,results/paper_r1_7b_humaneval_full/results_from_progress.json
,8.0,0.0,livecodebench_v6,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,100,1,False,results/paper_r1_7b_livecodebench_100/results_from_progress.json
,3.0,0.0,livecodebench_v6,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,100,1,False,results/paper_r1_7b_livecodebench_100/results_from_progress.json
,3.0,0.0,livecodebench_v6,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,100,1,False,results/paper_r1_7b_livecodebench_100/results_from_progress.json
,8.0,0.0,livecodebench_v6,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,100,1,False,results/paper_r1_7b_livecodebench_100/results_from_progress.json
,33.7,1.67,math500,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,100,3,False,results/paper_r1_7b_math100/results_from_progress.json
,11.7,2.33,math500,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,100,3,False,results/paper_r1_7b_math100/results_from_progress.json
,23.0,2.08,math500,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,100,3,False,results/paper_r1_7b_math100/results_from_progress.json
,33.7,1.67,math500,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,100,3,False,results/paper_r1_7b_math100/results_from_progress.json
,33.8,1.04,mbpp_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,11.2,0.35,mbpp_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,10.8,0.23,mbpp_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,34.8,1.28,mbpp_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,33.8,1.04,mbpp_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,87.5,0.0,livecodebench_v6,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,0,400,1,True,results/paperplus_qwen14b_livecodebench_full/results_from_progress.json
,50.0,0.0,livecodebench_v6,generated_test_filter,Qwen/Qwen2.5-Coder-14B-Instruct,0,400,1,True,results/paperplus_qwen14b_livecodebench_full/results_from_progress.json
,50.0,0.0,livecodebench_v6,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,0,400,1,True,results/paperplus_qwen14b_livecodebench_full/results_from_progress.json
,50.0,0.0,livecodebench_v6,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,0,400,1,True,results/paperplus_qwen14b_livecodebench_full/results_from_progress.json
,87.5,0.0,livecodebench_v6,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,0,400,1,True,results/paperplus_qwen14b_livecodebench_full/results_from_progress.json
,87.5,0.0,livecodebench_v6,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,0,400,1,True,results/paperplus_qwen14b_livecodebench_full/results_from_progress.json
,34.3,0.67,math500,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,34.3,0.67,math500,generated_test_filter,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,22.7,0.33,math500,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,24.1,0.13,math500,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,34.3,0.67,math500,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,34.3,0.67,math500,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,39.7,0.0,humaneval_plus,code_t,Qwen/Qwen2.5-Coder-14B-Instruct,0,164,1,True,results/paperproxystrongi2h_qwen14b_humaneval_full/results_from_progress.json
,39.7,0.0,humaneval_plus,generated_test_filter,Qwen/Qwen2.5-Coder-14B-Instruct,0,164,1,True,results/paperproxystrongi2h_qwen14b_humaneval_full/results_from_progress.json
,41.4,0.0,humaneval_plus,s_star,Qwen/Qwen2.5-Coder-14B-Instruct,0,164,1,True,results/paperproxystrongi2h_qwen14b_humaneval_full/results_from_progress.json
,69.2,0.0,humaneval_plus,code_t,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,164,1,True,results/paperproxystrongi2h_r1_7b_humaneval_full/results_from_progress.json
,69.2,0.0,humaneval_plus,generated_test_filter,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,164,1,True,results/paperproxystrongi2h_r1_7b_humaneval_full/results_from_progress.json
,76.9,0.0,humaneval_plus,s_star,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,164,1,True,results/paperproxystrongi2h_r1_7b_humaneval_full/results_from_progress.json
,81.0,0.0,mbpp_plus,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,1,True,results/reviewerstrongi2h_qwen14b_mbpp_full/results_from_progress.json
,79.0,0.0,mbpp_plus,generated_test_filter,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,1,True,results/reviewerstrongi2h_qwen14b_mbpp_full/results_from_progress.json
,70.1,0.0,mbpp_plus,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,1,True,results/reviewer_gtf_qwen14b_mbpp_full/results_from_progress.json
,70.5,0.0,mbpp_plus,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,1,True,results/reviewer_gtf_qwen14b_mbpp_full/results_from_progress.json
,83.0,0.0,mbpp_plus,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,1,True,results/reviewerstrongi2h_qwen14b_mbpp_full/results_from_progress.json
,78.0,0.0,mbpp_plus,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,0,378,1,True,results/reviewerstrongi2h_qwen14b_mbpp_full/results_from_progress.json
,67.0,0.0,humaneval_plus,generated_test_filter,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,164,1,True,results/reviewer_gtf_r1_32b_humaneval_full/results_from_progress.json
,40.4,0.0,mbpp_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,1,True,results/reviewerstrongi2h_r1_7b_mbpp_full/results_from_progress.json
,39.4,0.0,mbpp_plus,generated_test_filter,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,1,True,results/reviewerstrongi2h_r1_7b_mbpp_full/results_from_progress.json
,8.7,0.0,mbpp_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,1,True,results/reviewerstrongi2h_r1_7b_mbpp_full/results_from_progress.json
,10.1,0.0,mbpp_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,1,True,results/reviewerstrongi2h_r1_7b_mbpp_full/results_from_progress.json
,41.2,0.0,mbpp_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,1,True,results/reviewerstrongi2h_r1_7b_mbpp_full/results_from_progress.json
,40.1,0.0,mbpp_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,378,1,True,results/reviewerstrongi2h_r1_7b_mbpp_full/results_from_progress.json
