accuracy,accuracy_mean,accuracy_stderr,benchmark,method,model,num_complete_seed_runs,num_problems,num_seed_runs,partial,source_file
82.3,,,humaneval_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,164,1,False,results/paper_r1_32b_humaneval_full/results.json
,64.4,1.63,mbpp_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,31.0,0.31,mbpp_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,30.8,0.32,mbpp_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,66.8,1.23,mbpp_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
,64.6,1.5,mbpp_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,3,378,3,False,results/paper_r1_32b_mbpp_full/results_from_progress.json
70.7,,,humaneval_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
34.8,,,humaneval_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
32.9,,,humaneval_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
74.4,,,humaneval_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
72.6,,,humaneval_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,164,1,False,results/paper_r1_7b_humaneval_full/results.json
,8.0,0.0,livecodebench_v6,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,100,1,False,results/paper_r1_7b_livecodebench_100/results_from_progress.json
,3.0,0.0,livecodebench_v6,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,100,1,False,results/paper_r1_7b_livecodebench_100/results_from_progress.json
,3.0,0.0,livecodebench_v6,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,100,1,False,results/paper_r1_7b_livecodebench_100/results_from_progress.json
,8.0,0.0,livecodebench_v6,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,100,1,False,results/paper_r1_7b_livecodebench_100/results_from_progress.json
,33.7,1.67,math500,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,100,3,False,results/paper_r1_7b_math100/results_from_progress.json
,11.7,2.33,math500,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,100,3,False,results/paper_r1_7b_math100/results_from_progress.json
,23.0,2.08,math500,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,100,3,False,results/paper_r1_7b_math100/results_from_progress.json
,33.7,1.67,math500,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,100,3,False,results/paper_r1_7b_math100/results_from_progress.json
,33.8,1.04,mbpp_plus,falsification,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,11.2,0.35,mbpp_plus,greedy,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,10.8,0.23,mbpp_plus,majority_vote,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,34.8,1.28,mbpp_plus,oracle,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,33.8,1.04,mbpp_plus,self_debug,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,378,3,False,results/paper_r1_7b_mbpp_full/results_from_progress.json
,34.3,0.67,math500,falsification,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,34.3,0.67,math500,generated_test_filter,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,22.7,0.33,math500,greedy,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,24.1,0.13,math500,majority_vote,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,34.3,0.67,math500,oracle,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
,34.3,0.67,math500,self_debug,Qwen/Qwen2.5-Coder-14B-Instruct,0,500,0,False,results/paperplus_qwen14b_math500_full/results.json
